T_K,xi_pi,u,alpha_c,beta_c
0.0000000000e+00,2.1015037594e-01,7.8984962406e-01,1.5831095463e-02,7.1915010573e-02
0.0000000000e+00,2.0952380952e-01,7.9047619048e-01,1.4877443041e-02,7.2510430824e-02
0.0000000000e+00,2.0889724311e-01,7.9110275689e-01,1.3920706018e-02,7.3108724686e-02
0.0000000000e+00,2.0827067669e-01,7.9172932331e-01,1.2960880705e-02,7.3709901334e-02
0.0000000000e+00,2.0764411028e-01,7.9235588972e-01,1.1997963413e-02,7.4313969962e-02
0.0000000000e+00,2.0701754386e-01,7.9298245614e-01,1.1031950452e-02,7.4920939781e-02
0.0000000000e+00,2.0639097744e-01,7.9360902256e-01,1.0062838131e-02,7.5530820023e-02
0.0000000000e+00,2.0576441103e-01,7.9423558897e-01,9.0906227620e-03,7.6143619936e-02
0.0000000000e+00,2.0513784461e-01,7.9486215539e-01,8.1153006544e-03,7.6759348788e-02
0.0000000000e+00,2.0451127820e-01,7.9548872180e-01,7.1368681186e-03,7.7378015863e-02
0.0000000000e+00,2.0388471178e-01,7.9611528822e-01,6.1553214650e-03,7.7999630466e-02
0.0000000000e+00,2.0325814536e-01,7.9674185464e-01,5.1706570038e-03,7.8624201918e-02
0.0000000000e+00,2.0263157895e-01,7.9736842105e-01,4.1828710453e-03,7.9251739560e-02
0.0000000000e+00,2.0200501253e-01,7.9799498747e-01,3.1919598999e-03,7.9882252752e-02
0.0000000000e+00,2.0137844612e-01,7.9862155388e-01,2.1979198777e-03,8.0515750870e-02
0.0000000000e+00,2.0075187970e-01,7.9924812030e-01,1.2007472891e-03,8.1152243310e-02
0.0000000000e+00,2.0012531328e-01,7.9987468672e-01,2.0043844438e-04,8.1791739487e-02
1.0000000000e+02,3.3295739348e-01,6.6704260652e-01,1.4789625026e-01,1.1126409548e-04
1.0000000000e+02,3.3233082707e-01,6.6766917293e-01,1.4747452750e-01,2.9781968265e-04
1.0000000000e+02,3.3170426065e-01,6.6829573935e-01,1.4705043536e-01,4.8577465779e-04
1.0000000000e+02,3.3107769424e-01,6.6892230576e-01,1.4662397011e-01,6.7513492215e-04
1.0000000000e+02,3.3045112782e-01,6.6954887218e-01,1.4619512804e-01,8.6590639169e-04
1.0000000000e+02,3.2982456140e-01,6.7017543860e-01,1.4576390544e-01,1.0580949971e-03
1.0000000000e+02,3.2919799499e-01,6.7080200501e-01,1.4533029861e-01,1.2517066838e-03
1.0000000000e+02,3.2857142857e-01,6.7142857143e-01,1.4489430382e-01,1.4467474121e-03
1.0000000000e+02,3.2794486216e-01,6.7205513784e-01,1.4445591736e-01,1.6432231569e-03
1.0000000000e+02,3.2731829574e-01,6.7268170426e-01,1.4401513553e-01,1.8411399079e-03
1.0000000000e+02,3.2669172932e-01,6.7330827068e-01,1.4357195461e-01,2.0405036699e-03
1.0000000000e+02,3.2606516291e-01,6.7393483709e-01,1.4312637088e-01,2.2413204623e-03
1.0000000000e+02,3.2543859649e-01,6.7456140351e-01,1.4267838064e-01,2.4435963194e-03
1.0000000000e+02,3.2481203008e-01,6.7518796992e-01,1.4222798018e-01,2.6473372903e-03
1.0000000000e+02,3.2418546366e-01,6.7581453634e-01,1.4177516577e-01,2.8525494390e-03
1.0000000000e+02,3.2355889724e-01,6.7644110276e-01,1.4131993371e-01,3.0592388447e-03
