u,xi_pi,alpha_c,beta_c,physical
7.324979114453e-01,2.675020885547e-01,9.054615241009e-02,2.842816903267e-02,1.000000000000e+00
7.328320802005e-01,2.671679197995e-01,9.018012899914e-02,2.862464970145e-02,1.000000000000e+00
7.331662489557e-01,2.668337510443e-01,8.981332474650e-02,2.882172917762e-02,1.000000000000e+00
7.335004177109e-01,2.664995822891e-01,8.944573909243e-02,2.901940860915e-02,1.000000000000e+00
7.338345864662e-01,2.661654135338e-01,8.907737147720e-02,2.921768914539e-02,1.000000000000e+00
7.341687552214e-01,2.658312447786e-01,8.870822134105e-02,2.941657193703e-02,1.000000000000e+00
7.345029239766e-01,2.654970760234e-01,8.833828812424e-02,2.961605813610e-02,1.000000000000e+00
7.348370927318e-01,2.651629072682e-01,8.796757126703e-02,2.981614889599e-02,1.000000000000e+00
7.351712614871e-01,2.648287385129e-01,8.759607020969e-02,3.001684537142e-02,1.000000000000e+00
7.355054302423e-01,2.644945697577e-01,8.722378439245e-02,3.021814871848e-02,1.000000000000e+00
7.358395989975e-01,2.641604010025e-01,8.685071325559e-02,3.042006009460e-02,1.000000000000e+00
7.361737677527e-01,2.638262322473e-01,8.647685623935e-02,3.062258065857e-02,1.000000000000e+00
7.365079365079e-01,2.634920634921e-01,8.610221278400e-02,3.082571157052e-02,1.000000000000e+00
7.368421052632e-01,2.631578947368e-01,8.572678232979e-02,3.102945399194e-02,1.000000000000e+00
7.371762740184e-01,2.628237259816e-01,8.535056431697e-02,3.123380908569e-02,1.000000000000e+00
7.375104427736e-01,2.624895572264e-01,8.497355818582e-02,3.143877801595e-02,1.000000000000e+00
7.378446115288e-01,2.621553884712e-01,8.459576337657e-02,3.164436194829e-02,1.000000000000e+00
7.381787802840e-01,2.618212197160e-01,8.421717932949e-02,3.185056204961e-02,1.000000000000e+00
7.385129490393e-01,2.614870509607e-01,8.383780548484e-02,3.205737948818e-02,1.000000000000e+00
7.388471177945e-01,2.611528822055e-01,8.345764128287e-02,3.226481543362e-02,1.000000000000e+00
7.391812865497e-01,2.608187134503e-01,8.307668616384e-02,3.247287105693e-02,1.000000000000e+00
7.395154553049e-01,2.604845446951e-01,8.269493956801e-02,3.268154753043e-02,1.000000000000e+00
7.398496240602e-01,2.601503759398e-01,8.231240093563e-02,3.289084602784e-02,1.000000000000e+00
7.401837928154e-01,2.598162071846e-01,8.192906970696e-02,3.310076772421e-02,1.000000000000e+00
7.405179615706e-01,2.594820384294e-01,8.154494532226e-02,3.331131379598e-02,1.000000000000e+00
7.408521303258e-01,2.591478696742e-01,8.116002722178e-02,3.352248542092e-02,1.000000000000e+00
7.411862990810e-01,2.588137009190e-01,8.077431484578e-02,3.373428377819e-02,1.000000000000e+00
7.415204678363e-01,2.584795321637e-01,8.038780763452e-02,3.394671004830e-02,1.000000000000e+00
7.418546365915e-01,2.581453634085e-01,8.000050502825e-02,3.415976541312e-02,1.000000000000e+00
7.421888053467e-01,2.578111946533e-01,7.961240646723e-02,3.437345105591e-02,1.000000000000e+00
7.425229741019e-01,2.574770258981e-01,7.922351139173e-02,3.458776816126e-02,1.000000000000e+00
7.428571428571e-01,2.571428571429e-01,7.883381924198e-02,3.480271791515e-02,1.000000000000e+00
7.431913116124e-01,2.568086883876e-01,7.844332945826e-02,3.501830150494e-02,1.000000000000e+00
7.435254803676e-01,2.564745196324e-01,7.805204148082e-02,3.523452011931e-02,1.000000000000e+00
7.438596491228e-01,2.561403508772e-01,7.765995474991e-02,3.545137494836e-02,1.000000000000e+00
7.441938178780e-01,2.558061821220e-01,7.726706870579e-02,3.566886718354e-02,1.000000000000e+00
7.445279866332e-01,2.554720133668e-01,7.687338278873e-02,3.588699801766e-02,1.000000000000e+00
7.448621553885e-01,2.551378446115e-01,7.647889643897e-02,3.610576864492e-02,1.000000000000e+00
7.451963241437e-01,2.548036758563e-01,7.608360909677e-02,3.632518026087e-02,1.000000000000e+00
7.455304928989e-01,2.544695071011e-01,7.568752020239e-02,3.654523406245e-02,1.000000000000e+00
7.458646616541e-01,2.541353383459e-01,7.529062919609e-02,3.676593124797e-02,1.000000000000e+00
7.461988304094e-01,2.538011695906e-01,7.489293551812e-02,3.698727301712e-02,1.000000000000e+00
7.465329991646e-01,2.534670008354e-01,7.449443860874e-02,3.720926057094e-02,1.000000000000e+00
7.468671679198e-01,2.531328320802e-01,7.409513790821e-02,3.743189511188e-02,1.000000000000e+00
7.472013366750e-01,2.527986633250e-01,7.369503285679e-02,3.765517784374e-02,1.000000000000e+00
7.475355054302e-01,2.524644945698e-01,7.329412289472e-02,3.787910997171e-02,1.000000000000e+00
7.478696741855e-01,2.521303258145e-01,7.289240746227e-02,3.810369270235e-02,1.000000000000e+00
7.482038429407e-01,2.517961570593e-01,7.248988599970e-02,3.832892724361e-02,1.000000000000e+00
7.485380116959e-01,2.514619883041e-01,7.208655794725e-02,3.855481480481e-02,1.000000000000e+00
7.488721804511e-01,2.511278195489e-01,7.168242274520e-02,3.878135659665e-02,1.000000000000e+00
7.492063492063e-01,2.507936507937e-01,7.127747983379e-02,3.900855383121e-02,1.000000000000e+00
7.495405179616e-01,2.504594820384e-01,7.087172865328e-02,3.923640772197e-02,1.000000000000e+00
7.498746867168e-01,2.501253132832e-01,7.046516864394e-02,3.946491948376e-02,1.000000000000e+00
7.502088554720e-01,2.497911445280e-01,7.005779924600e-02,3.969409033282e-02,1.000000000000e+00
7.505430242272e-01,2.494569757728e-01,6.964961989974e-02,3.992392148676e-02,1.000000000000e+00
7.508771929825e-01,2.491228070175e-01,6.924063004541e-02,4.015441416459e-02,1.000000000000e+00
7.512113617377e-01,2.487886382623e-01,6.883082912327e-02,4.038556958668e-02,1.000000000000e+00
7.515455304929e-01,2.484544695071e-01,6.842021657357e-02,4.061738897480e-02,1.000000000000e+00
7.518796992481e-01,2.481203007519e-01,6.800879183656e-02,4.084987355212e-02,1.000000000000e+00
7.522138680033e-01,2.477861319967e-01,6.759655435252e-02,4.108302454318e-02,1.000000000000e+00
7.525480367586e-01,2.474519632414e-01,6.718350356169e-02,4.131684317391e-02,1.000000000000e+00
7.528822055138e-01,2.471177944862e-01,6.676963890433e-02,4.155133067164e-02,1.000000000000e+00
7.532163742690e-01,2.467836257310e-01,6.635495982070e-02,4.178648826508e-02,1.000000000000e+00
7.535505430242e-01,2.464494569758e-01,6.593946575105e-02,4.202231718432e-02,1.000000000000e+00
7.538847117794e-01,2.461152882206e-01,6.552315613564e-02,4.225881866087e-02,1.000000000000e+00
7.542188805347e-01,2.457811194653e-01,6.510603041473e-02,4.249599392762e-02,1.000000000000e+00
7.545530492899e-01,2.454469507101e-01,6.468808802857e-02,4.273384421883e-02,1.000000000000e+00
7.548872180451e-01,2.451127819549e-01,6.426932841743e-02,4.297237077019e-02,1.000000000000e+00
7.552213868003e-01,2.447786131997e-01,6.384975102156e-02,4.321157481876e-02,1.000000000000e+00
7.555555555556e-01,2.444444444444e-01,6.342935528121e-02,4.345145760301e-02,1.000000000000e+00
7.558897243108e-01,2.441102756892e-01,6.300814063664e-02,4.369202036279e-02,1.000000000000e+00
7.562238930660e-01,2.437761069340e-01,6.258610652811e-02,4.393326433935e-02,1.000000000000e+00
7.565580618212e-01,2.434419381788e-01,6.216325239588e-02,4.417519077536e-02,1.000000000000e+00
7.568922305764e-01,2.431077694236e-01,6.173957768020e-02,4.441780091486e-02,1.000000000000e+00
7.572263993317e-01,2.427736006683e-01,6.131508182133e-02,4.466109600331e-02,1.000000000000e+00
7.575605680869e-01,2.424394319131e-01,6.088976425953e-02,4.490507728754e-02,1.000000000000e+00
7.578947368421e-01,2.421052631579e-01,6.046362443505e-02,4.514974601581e-02,1.000000000000e+00
7.582289055973e-01,2.417710944027e-01,6.003666178815e-02,4.539510343777e-02,1.000000000000e+00
7.585630743525e-01,2.414369256475e-01,5.960887575909e-02,4.564115080448e-02,1.000000000000e+00
7.588972431078e-01,2.411027568922e-01,5.918026578812e-02,4.588788936838e-02,1.000000000000e+00
7.592314118630e-01,2.407685881370e-01,5.875083131550e-02,4.613532038334e-02,1.000000000000e+00
